seed,usingPackage,usingVersion,phantomName,phantomVersion
@lerna/version,lerna,9.0.1,validate-npm-package-license,3.0.4
@lerna/version,lerna,9.0.1,validate-npm-package-name,7.0.0
@lerna/version,lerna,9.0.1,through,2.3.8
@lerna/version,@lerna/create,9.0.1,@nx/devkit,22.1.1
@lerna/version,@lerna/create,9.0.1,fs-extra,11.3.2
@lerna/version,@lerna/create,9.0.1,chalk,5.6.2
@lerna/version,@lerna/create,9.0.1,yargs,18.0.0
@lerna/version,@lerna/create,9.0.1,is-ci,4.1.0
@lerna/version,@lerna/create,9.0.1,tmp,0.2.5
@lerna/version,@lerna/create,9.0.1,semver,7.7.3
@lerna/version,@lerna/create,9.0.1,execa,9.6.0
@lerna/version,@lerna/create,9.0.1,pretty-format,30.2.0
@lerna/version,@lerna/create,9.0.1,tinyglobby,0.2.15
@lerna/version,@lerna/create,9.0.1,load-json-file,7.0.1
@lerna/version,@lerna/create,9.0.1,cmd-shim,8.0.0
@lerna/version,@lerna/create,9.0.1,multimatch,7.0.0
@lerna/version,@lerna/create,9.0.1,columnify,1.6.0
@lerna/version,@lerna/create,9.0.1,read-cmd-shim,6.0.0
@lerna/version,@lerna/create,9.0.1,p-queue,9.0.1
@lerna/version,@lerna/create,9.0.1,p-map,7.0.4
@lerna/version,@lerna/create,9.0.1,p-map-series,3.0.0
@lerna/version,@lerna/create,9.0.1,write-file-atomic,7.0.0
@lerna/version,@lerna/create,9.0.1,npm-package-arg,13.0.2
@lerna/version,@lerna/create,9.0.1,dedent,1.7.0
@lerna/version,@lerna/create,9.0.1,minimatch,10.1.1
@lerna/version,@lerna/create,9.0.1,slash,5.1.0
@lerna/version,@lerna/create,9.0.1,ssri,13.0.0
@lerna/version,@lerna/create,9.0.1,tar,7.5.2
@lerna/version,@lerna/create,9.0.1,byte-size,9.0.1
@lerna/version,@lerna/create,9.0.1,has-unicode,2.0.1
@lerna/version,@lerna/create,9.0.1,npm-registry-fetch,19.1.1
@lerna/version,@lerna/create,9.0.1,write-pkg,7.0.0
@lerna/version,@lerna/create,9.0.1,libnpmpublish,11.1.3
@lerna/version,@lerna/create,9.0.1,@npmcli/package-json,7.0.4
@lerna/version,@lerna/create,9.0.1,ci-info,4.3.1
@lerna/version,@lerna/create,9.0.1,make-fetch-happen,15.0.3
@lerna/version,@lerna/create,9.0.1,@npmcli/arborist,9.1.7
@lerna/version,@lerna/create,9.0.1,npm-packlist,10.0.3
@lerna/version,@lerna/create,9.0.1,upath,2.0.1
@lerna/version,@lerna/create,9.0.1,inquirer,13.0.1
@lerna/version,@lerna/create,9.0.1,rimraf,6.1.2
@lerna/version,@lerna/create,9.0.1,@npmcli/run-script,10.0.3
@lerna/version,@lerna/create,9.0.1,is-stream,4.0.1
@lerna/version,@lerna/create,9.0.1,make-dir,5.1.0
@lerna/version,@lerna/create,9.0.1,temp-dir,3.0.0
@lerna/version,@lerna/create,9.0.1,uuid,13.0.0
@lerna/version,@lerna/create,9.0.1,@octokit/rest,22.0.1
@lerna/version,@lerna/create,9.0.1,git-url-parse,16.1.0
@lerna/version,@lerna/create,9.0.1,resolve-from,5.0.0
@lerna/version,@lerna/create,9.0.1,cosmiconfig,9.0.0
@lerna/version,@lerna/create,9.0.1,glob-parent,6.0.2
@lerna/version,@lerna/create,9.0.1,set-blocking,2.0.0
@lerna/version,@lerna/create,9.0.1,console-control-strings,1.1.0
@lerna/version,@lerna/create,9.0.1,color-support,1.1.3
@lerna/version,@lerna/create,9.0.1,aproba,2.1.0
@lerna/version,@lerna/create,9.0.1,wide-align,1.1.5
@lerna/version,@lerna/create,9.0.1,ini,6.0.0
@lerna/version,@lerna/create,9.0.1,pify,6.1.0
@lerna/version,@lerna/create,9.0.1,conventional-recommended-bump,11.2.0
@lerna/version,@lerna/create,9.0.1,conventional-changelog-core,9.0.0
@lerna/version,@lerna/create,9.0.1,get-stream,9.0.1
@lerna/version,@lerna/create,9.0.1,p-reduce,3.0.0
@lerna/version,@lerna/create,9.0.1,pacote,21.0.4
@lerna/version,@lerna/create,9.0.1,yargs-parser,22.0.0
@lerna/version,@lerna/create,9.0.1,init-package-json,8.2.4
@lerna/version,@lerna/create,9.0.1,validate-npm-package-license,3.0.4
@lerna/version,@lerna/create,9.0.1,validate-npm-package-name,7.0.0
@lerna/version,@lerna/create,9.0.1,through,2.3.8
@lerna/npm-publish,@lerna/npm-publish,6.4.1,fs-extra,11.3.2
@lerna/npm-publish,@lerna/npm-publish,6.4.1,semver,7.7.3
@lerna/npm-publish,@lerna/npm-publish,6.4.1,tinyglobby,0.2.15
@lerna/npm-publish,@lerna/npm-publish,6.4.1,p-queue,9.0.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,p-map,7.0.4
@lerna/npm-publish,@lerna/npm-publish,6.4.1,npm-package-arg,13.0.2
@lerna/npm-publish,@lerna/npm-publish,6.4.1,minimatch,10.1.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,ssri,13.0.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,tar,7.5.2
@lerna/npm-publish,@lerna/npm-publish,6.4.1,has-unicode,2.0.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,npm-registry-fetch,19.1.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,libnpmpublish,11.1.3
@lerna/npm-publish,@lerna/npm-publish,6.4.1,@npmcli/package-json,7.0.4
@lerna/npm-publish,@lerna/npm-publish,6.4.1,ci-info,4.3.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,make-fetch-happen,15.0.3
@lerna/npm-publish,@lerna/npm-publish,6.4.1,inquirer,13.0.1
@lerna/npm-publish,@lerna/npm-publish,6.4.1,@npmcli/run-script,10.0.3
@lerna/npm-publish,@lerna/npm-publish,6.4.1,set-blocking,2.0.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,console-control-strings,1.1.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,color-support,1.1.3
@lerna/npm-publish,@lerna/npm-publish,6.4.1,aproba,2.1.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,wide-align,1.1.5
@lerna/npm-publish,@lerna/npm-publish,6.4.1,ini,6.0.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,pify,6.1.0
@lerna/npm-publish,@lerna/npm-publish,6.4.1,validate-npm-package-license,3.0.4
@lerna/npm-publish,@lerna/npm-publish,6.4.1,validate-npm-package-name,7.0.0
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,semver,7.7.3
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,tinyglobby,0.2.15
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,p-queue,9.0.1
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,p-map,7.0.4
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,npm-package-arg,13.0.2
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,minimatch,10.1.1
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,ssri,13.0.0
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,tar,7.5.2
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,has-unicode,2.0.1
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,@npmcli/package-json,7.0.4
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,make-fetch-happen,15.0.3
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,@npmcli/run-script,10.0.3
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,set-blocking,2.0.0
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,console-control-strings,1.1.0
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,color-support,1.1.3
@lerna/npm-publish,@lerna/run-lifecycle,6.4.1,aproba,2.1.0
